source,target,weight
"Metag, Julia","Schaefer, Mike",1
"Metag, Julia","Kleinen-von Knigslw, Katharina",1
"Metag, Julia","Metag, Julia",1
"Metag, Julia","Barsuhn, Tjado",1
"Hendriks, Hanneke","Hendriks, Hanneke",1
"Hendriks, Hanneke","de Bruijn, Gert-Jan",1
"Hendriks, Hanneke","van den Putte, Bas",1
"Crdaba, Miguel","Crdaba, Miguel",1
"Crdaba, Miguel","Brndle, Gaspar",1
"Crdaba, Miguel","Rivera, Reynaldo",1
"Crdaba, Miguel","Santos, David",1
"Yeo, Xinzi","Lai, Aloysius",1
"Yeo, Xinzi","Ling, Debby",1
"Yeo, Xinzi","Jung, Younbo",1
"Yeo, Xinzi","Yeo, Xinzi",1
"Yeo, Xinzi","Lee, Debbie",1
"Wang, Haiyan","Wang, Haiyan",1
"Wang, Haiyan","Zhang, Fan",1
"Wang, Haiyan","Lee, Francis L. F.",1
"Burgers, Christian","Burgers, Christian",1
"Burgers, Christian","Beukeboom, Camiel",1
"Fast, Karin","Fast, Karin",1
"Hermann, Anne","Hermann, Anne",1
"Jorgensen, Rebekah","Jorgensen, Rebekah",1
"Nathanson, Amy","Beyens, Ine",1
"Nathanson, Amy","Nathanson, Amy",1
"Cummings, Ryan","Salmon, Sara",1
"Cummings, Ryan","Pastor, Rebekah",1
"Cummings, Ryan","Lindley, Cynthia",1
"Cummings, Ryan","MacGeorge, Erina",1
"Cummings, Ryan","Brisini, Kellie",1
"Cummings, Ryan","Cummings, Ryan",1
"Cummings, Ryan","Branch, Sara",1
"Cummings, Ryan","Bailey, Loren",1
"Cummings, Ryan","Guntzviller, Lisa",1
"Cummings, Ryan","Lillie, Helen",1
"Cummings, Ryan","Severen, Kaytiann",1
"Yowell, Curt","Yowell, Curt",1
"Zhang, Guoliang","Zhang, Guoliang",1
"Zhang, Guoliang","Shao, Guosong",1
"Zhang, Guoliang","Bowman, Nicholas",1
"Huang, Kuo-Ting","Rikard, R.V.",1
"Huang, Kuo-Ting","Huang, Kuo-Ting",1
"Huang, Kuo-Ting","Cotten, Shelia",1
"Huang, Kuo-Ting","O'Neal Coleman, LaToya",1
"Huang, Kuo-Ting","Ball, Christopher",1
"McMahan, David","McMahan, David",1
"Banjo, Omotayo","Banjo, Omotayo",1
"Banjo, Omotayo","Brown, Christopher",1
"Banjo, Omotayo","Appiah, Osei",1
"Banjo, Omotayo","Wang, Zheng",1
"Banjo, Omotayo","Walther, Whitney",1
"Girginova, Katerina","Girginova, Katerina",1
"Liu, Yu","Wang, Weirui",1
"Liu, Yu","Liu, Yu",1
"Ketelaars, Pauline","Ketelaars, Pauline",1
"Soon, Carol","Tan, Tarn How",1
"Soon, Carol","Soon, Carol",1
"Noy, Chaim","Noy, Chaim",1
"Kang, Namjun","Lee, Hye Mi",1
"Kang, Namjun","Han, Soo Yeon",1
"Kang, Namjun","Kang, Namjun",1
"Kang, Namjun","Kim, Su Jung",1
"Bruscella, Jacqueline","Johnson, Amy",1
"Bruscella, Jacqueline","Bruscella, Jacqueline",1
"Bruscella, Jacqueline","Cionea, Ioana",1
"Bruscella, Jacqueline","Van Gilder, Bobbi",1
"Park, Sanghee","Lim, Jongsoo",1
"Park, Sanghee","Ha, Louisa",1
"Park, Sanghee","Park, Sanghee",1
"Park, Sanghee","Rosati, Clayton",1
"Park, Sanghee","Yun, Gi Woong",1
"Park, Sanghee","Joa, Claire",1
"Park, Sanghee","Park, Sung-Yeon",1
"Chung, Eun Ji (Angie)","Chung, Myojung",1
"Chung, Eun Ji (Angie)","Kim, Ji Won",1
"Chung, Eun Ji (Angie)","Chung, Eun Ji (Angie)",1
"Chung, Eun Ji (Angie)","Chock, Tamara",1
"Suwinyattichaiporn, Tara","Generous, Mark",1
"Suwinyattichaiporn, Tara","Chen, Tzu-Chiao",1
"Suwinyattichaiporn, Tara","Suwinyattichaiporn, Tara",1
"Valenzuela, Sebastian","Valenzuela, Sebastian",1
"Valenzuela, Sebastian","Somma, Nicolas",1
"Valenzuela, Sebastian","Arriagada, Arturo",1
"Valenzuela, Sebastian","Scherman, Andres",1
"Rodero, Emma","Rodero, Emma",1
"Rodero, Emma","Potter, Robert",1
"So, Jiyeon","Ling, Pamela",1
"So, Jiyeon","So, Jiyeon",1
"So, Jiyeon","Sangalang, Angeline",1
"So, Jiyeon","Popova, Lucy",1
"Bettinghaus, Erwin","Fluharty, Lyndsay",1
"Bettinghaus, Erwin","Andersen, Peter",1
"Bettinghaus, Erwin","Buller, Mary",1
"Bettinghaus, Erwin","Slater, Michael",1
"Bettinghaus, Erwin","Liu, Xia",1
"Bettinghaus, Erwin","Bettinghaus, Erwin",1
"Bayliss, Lauren","Bayliss, Lauren",1
"Jeppesen, Sandra","Jeppesen, Sandra",1
"Chandrasegaran, Senthil","Wilhoit, Elizabeth",1
"Chandrasegaran, Senthil","Ramani, Karthik",1
"Chandrasegaran, Senthil","Chandrasegaran, Senthil",1
"Chandrasegaran, Senthil","Kisselburgh, Lorraine",1
"Madianou, Maria Mirca","Ong, Jonathan",1
"Madianou, Maria Mirca","Madianou, Maria Mirca",1
"Madianou, Maria Mirca","Longboan, Liezel",1
"Kim, Minji","Cappella, Joseph",1
"Kim, Minji","Yang, Sijia",1
"Kim, Minji","Baek, Young Min",1
"Kim, Minji","Kim, Minji",1
"Kim, Minji","Kim, Hyun Suk",1
"Sirota, Karina","Gergle, Darren",1
"Sirota, Karina","Hargittai, Eszter",1
"Sirota, Karina","Sirota, Karina",1
"Sirota, Karina","Herndon, RIchard",1
"Aufenanger, Stefan","Reinecke, Leonard",1
"Aufenanger, Stefan","Dreier, Michael",1
"Aufenanger, Stefan","Beutel, Manfred",1
"Aufenanger, Stefan","Stark, Birgit",1
"Aufenanger, Stefan","Mueller, Kai",1
"Aufenanger, Stefan","Aufenanger, Stefan",1
"Aufenanger, Stefan","Quiring, Oliver",1
"Aufenanger, Stefan","Woelfling, Klaus",1
"Wilson, Paul","Scheufele, Dietram",1
"Wilson, Paul","Su, Leona Yi-Fan",1
"Wilson, Paul","Wilson, Paul",1
"Wilson, Paul","Scopatz, Anthony",1
"Wilson, Paul","Li, Nan",1
"Wilson, Paul","Brossard, Dominique",1
"Chorazy, Ella","Chorazy, Ella",1
"Zapata, Dazzelyn","Zapata, Dazzelyn",1
"Cox, Anthony","Cox, Dena",1
"Cox, Anthony","Cox, Jeffrey",1
